David Cherkaskiy          	3.88872 	0.5K
Ján Kadár                 	3.85576 	0.5K
Joaquín Cociña            	3.73640 	1K
Elmar Klos                	3.85500 	0.5K
Anselmo Duarte            	3.92263 	0.3K
Marcell Jankovics         	3.72236 	1K
Cristobal León            	3.72812 	1K
King Hu                   	3.69190 	2K
Erich von Stroheim        	3.70481 	1K
Ciro Guerra               	3.69868 	1K
Robert Rossen             	3.68391 	2K
Peter Davis               	3.90000 	0.3K
Jules Dassin              	3.66225 	4K
Jean Renoir               	3.64980 	10K
Yuki Teshima              	3.97553 	0.2K
Emir Kusturica            	3.65210 	6K
Sara Crow                 	4.00000 	0.1K
Howard Hawks              	3.64549 	17K
Basel Adra                	3.87000 	0.2K
Michael Wadleigh          	3.68691 	1K
Terry Gilliam             	3.64238 	40K
Werner Penzel             	3.83420 	0.2K
Raymond Bernard           	3.76055 	0.3K
Pierre-André Boutang      	3.89029 	0.1K
Nicolas Humbert           	3.81816 	0.2K
Frederick Wiseman         	3.64831 	4K
Abel Gance                	3.66323 	1K
Jon Alpert                	3.76333 	0.3K
Buster Keaton             	3.64292 	16K
Abbas Fahdel              	3.88064 	0.1K
Roberto Gavaldón          	3.68049 	0.6K
Carlos Reichenbach        	3.68840 	0.5K
Martin Bell               	3.69815 	0.4K
Mark Zakharov             	3.68703 	0.5K
Ernst Lubitsch            	3.64215 	9K
Kazuhiro Furuhashi        	3.67545 	0.4K
Kihachi Okamoto           	3.64728 	1K
Antonio Pietrangeli       	3.64992 	1K
Vladimir Bortko           	3.65992 	0.6K
Grigori Kozintsev         	3.64791 	0.6K
Bill Meléndez             	3.64080 	5K
Werner Herzog             	3.63857 	39K
Dan Kwan                  	3.63950 	10K
Eric Pauwels              	3.65401 	0.4K
Hiroyuki Yamaga           	3.64395 	0.9K
Jan Troell                	3.64199 	1K
Mariano Llinás            	3.63682 	0.5K
Kinuyo Tanaka             	3.62726 	0.4K
Peter Weir                	3.63703 	27K
Terrence Malick           	3.63701 	22K
Tsai Ming-liang           	3.63525 	10K
Ettore Scola              	3.63160 	4K
Luchino Visconti          	3.63391 	8K
Joseph L. Mankiewicz      	3.63293 	7K
Theo Angelopoulos         	3.62531 	4K
Ulrike Ottinger           	3.56843 	0.6K
Nicholas Ray              	3.63056 	10K
Henry Selick              	3.63129 	14K
Daniel Scheinert          	3.62968 	10K
Robert Kramer             	3.51242 	0.4K
Franco Piavoli            	3.58963 	1K
Edgar Reitz               	3.51208 	0.7K
Chris Marker              	3.62278 	10K
Mikko Niskanen            	3.40866 	0.4K
Leo McCarey               	3.60790 	5K
Andrew Stanton            	3.62284 	22K
Douglas Sirk              	3.60313 	5K
James Algar               	3.59701 	4K
Mohsen Makhmalbaf         	3.53527 	1K
Jerzy Kawalerowicz        	3.54027 	1K
Bruce Sinofsky            	3.56138 	2K
Barbara Kopple            	3.47936 	1K
Takayuki Hirao            	3.32965 	0.5K
Sam Peckinpah             	3.61399 	12K
Ethan Coen                	3.62311 	43K
Wes Anderson              	3.62323 	66K
Carlos Saura              	3.54410 	2K
Marco Tullio Giordana     	3.44621 	1K
Denis Villeneuve          	3.61751 	45K
François Truffaut         	3.61095 	19K
Prince                    	3.21405 	0.5K
Shunji Iwai               	3.57436 	5K
Lav Diaz                  	3.51915 	2K
Tod Browning              	3.57874 	6K
Jiang Wen                 	3.38154 	1K
Jacques Demy              	3.56189 	4K
William Friedkin          	3.60338 	20K
Shinya Tsukamoto          	3.58505 	9K
Chantal Akerman           	3.57289 	8K
Mario Monicelli           	3.55634 	6K
Maya Deren                	3.55576 	6K
Stanley Donen             	3.56937 	8K
Costa-Gavras              	3.50936 	3K
William Wyler             	3.57601 	10K
Nick Park                 	3.58016 	14K
Rainer Werner Fassbinder  	3.58099 	14K
Kiyoshi Kurosawa          	3.56993 	10K
Michael Haneke            	3.59222 	24K
Jonas Mekas               	3.51894 	4K
Otto Preminger            	3.55309 	7K
John Schlesinger          	3.54632 	6K
John Ford                 	3.58795 	20K
Jacques Tourneur          	3.55117 	7K
Shuji Terayama            	3.51466 	4K
Chris Smith               	3.46959 	3K
Robert Altman             	3.58450 	21K
Éric Rohmer               	3.57474 	15K
Stanley Kramer            	3.47705 	3K
Gregg Araki               	3.54651 	8K
Dino Risi                 	3.48805 	4K
Joseph Losey              	3.48114 	4K
Takeshi Kitano            	3.56672 	14K
Terry Zwigoff             	3.52892 	7K
King Vidor                	3.43943 	3K
Mathieu Kassovitz         	3.52083 	7K
Agnès Varda               	3.53951 	11K
Raoul Walsh               	3.49025 	6K
Peter Greenaway           	3.51251 	8K
Toshio Matsumoto          	3.45232 	5K
Raúl Ruiz                 	3.42990 	4K
Apichatpong Weerasethakul 	3.51336 	11K
David Fincher             	3.57324 	76K
John Carpenter            	3.56802 	50K
Brad Bird                 	3.55126 	28K
Andrzej Wajda             	3.45611 	7K
Sion Sono                 	3.51516 	13K
Richard Linklater         	3.55711 	41K
Jim Jarmusch              	3.55126 	34K
Mervyn LeRoy              	3.33750 	3K
Manoel de Oliveira        	3.36173 	4K
Derek Jarman              	3.34216 	4K
Ken Loach                 	3.46472 	9K
John Huston               	3.51363 	18K
Ken Russell               	3.41201 	7K
Claire Denis              	3.40526 	7K
Anton Corbijn             	3.32635 	5K
George A. Romero          	3.49271 	19K
Christopher Nolan         	3.53565 	99K
Tobe Hooper               	3.46063 	16K
Zhang Yimou               	3.39288 	9K
Paul Schrader             	3.42719 	12K
Alexander Payne           	3.44758 	15K
Michael Mann              	3.47964 	26K
John Frankenheimer        	3.34781 	8K
Peter Jackson             	3.50715 	59K
Jean-Luc Godard           	3.49394 	41K
John McTiernan            	3.44751 	20K
Dean DeBlois              	3.36283 	10K
Mike Nichols              	3.41054 	14K
Mick Jackson              	3.11712 	4K
Joe Berlinger             	3.06973 	3K
Chuck Jones               	3.41342 	16K
Ben Safdie                	3.41463 	18K
Brian De Palma            	3.45964 	42K
Lars von Trier            	3.43302 	34K
David Cronenberg          	3.45053 	52K
Danny Boyle               	3.38391 	38K
James Cameron             	3.39667 	48K
