Alvvays                                      	3.80855 	61K
Pescado Rabioso                              	3.97789 	16K
Charli XCX                                   	3.63487 	247K
Thelonious Monk                              	3.82275 	52K
The Clash                                    	3.73055 	106K
Wire                                         	3.79005 	64K
Funkadelic                                   	3.81193 	54K
The Who                                      	3.70723 	126K
The Beach Boys                               	3.64664 	209K
The Kinks                                    	3.72474 	107K
Love                                         	3.85235 	37K
Yes                                          	3.68236 	147K
Les Rallizes Dénudés                         	3.8760  	30K
R.E.M.                                       	3.67555 	154K
Burial                                       	3.71801 	107K
Linda McCartney                              	3.97196 	14K
The Mothers of Invention                     	3.74787 	84K
Modest Mouse                                 	3.70290 	119K
Herbie Hancock                               	3.76910 	69K
FKA twigs                                    	3.7257  	97K
Fleet Foxes                                  	3.76331 	71K
The Strokes                                  	3.66887 	154K
Little Simz                                  	3.77803 	62K
Built to Spill                               	3.7864  	58K
Rage Against the Machine                     	3.75411 	75K
Earl Sweatshirt                              	3.66850 	147K
Mobb Deep                                    	3.86512 	30K
Mid-Air Thief                                	3.87256 	28K
Johnny Cash                                  	3.72534 	91K
SOPHIE                                       	3.74644 	76K
Bruce Springsteen                            	3.68686 	122K
Converge                                     	3.74397 	76K
Rush                                         	3.65906 	148K
Ennio Morricone                              	3.8395  	33K
Novos Baianos                                	3.98302 	11K
Pulp                                         	3.78242 	52K
Sly & The Family Stone                       	3.85211 	30K
Robert Johnson                               	3.98963 	10K
Peter Gabriel                                	3.7320  	78K
Injury Reserve                               	3.74895 	67K
Seatbelts                                    	3.95287 	13K
Kenny Segal                                  	3.82924 	35K
Freddie Gibbs                                	3.69649 	102K
The Notorious B.I.G.                         	3.81522 	39K
Parannoul                                    	3.73096 	76K
London Symphony Orchestra                    	3.80993 	40K
Wiener Philharmoniker                        	3.90948 	18K
Shiro Sagisu                                 	3.96226 	12K
The Smashing Pumpkins                        	3.66290 	131K
Ornette Coleman                              	3.81066 	39K
Kyuss                                        	3.7955  	44K
Genesis                                      	3.64846 	145K
Porcupine Tree                               	3.69132 	100K
Tyler, The Creator                           	3.58351 	250K
Nas                                          	3.64737 	144K
Eric Dolphy                                  	3.88012 	22K
Coil                                         	3.71562 	80K
Jessie Ware                                  	3.76690 	52K
Michael Jackson                              	3.65890 	127K
Minor Threat                                 	3.87154 	22K
The Chameleons                               	3.86753 	23K
Viktor Vaughn                                	3.89881 	18K
Shoji Meguro                                 	3.95724 	11K
Comus                                        	3.90846 	16K
Adrianne Lenker                              	3.80183 	38K
Tears for Fears                              	3.77836 	45K
Wilco                                        	3.68152 	100K
Duke Ellington                               	3.79489 	39K
Bill Evans                                   	3.81741 	33K
Red House Painters                           	3.78031 	44K
King Gizzard & The Lizard Wizard             	3.58009 	232K
Lingua Ignota                                	3.78141 	43K
Boris                                        	3.63013 	149K
Toby Fox                                     	3.96034 	10K
Tim Hecker                                   	3.69746 	84K
Gorguts                                      	3.82606 	29K
Autechre                                     	3.64023 	132K
Roxy Music                                   	3.75660 	50K
Arcade Fire                                  	3.61792 	157K
George Clanton                               	3.78028 	40K
Magnolia Electric Co.                        	3.91506 	14K
Jethro Tull                                  	3.67365 	95K
Lamp                                         	3.80281 	33K
Denzel Curry                                 	3.61988 	146K
Vince Guaraldi                               	3.95664 	10K
Gustavo Cerati                               	3.87365 	18K
By Storm                                     	4.12838 	2K
Keith Jarrett                                	3.81856 	28K
Stan Getz                                    	3.83510 	24K
Yuu Miyake                                   	4.07868 	4K
Sam Cooke                                    	3.86776 	19K
Candy Claws                                  	3.80782 	30K
Big Star                                     	3.80915 	29K
Max Roach                                    	3.83054 	24K
XTC                                          	3.73157 	53K
Three 6 Mafia                                	3.78580 	34K
Judas Priest                                 	3.62360 	131K
Stardust                                     	4.09266 	3K
Alfred Schnittke                             	3.97000 	8K
Agalloch                                     	3.72285 	54K
Saulius Sondeckis                            	3.9550  	8K
Dead Can Dance                               	3.72811 	50K
Emperor                                      	3.78059 	33K
Mount Eerie                                  	3.68712 	70K
Deafheaven                                   	3.67089 	80K
Bolt Thrower                                 	3.7894  	30K
The Replacements                             	3.75319 	40K
The Allman Brothers Band                     	3.79410 	29K
Maruja                                       	3.86891 	16K
The Roots                                    	3.72217 	51K
Wipers                                       	3.83058 	21K
Siouxsie and The Banshees                    	3.71905 	52K
Jeff Rosenstock                              	3.71077 	56K
The Fall                                     	3.66836 	79K
Kero Kero Bonito                             	3.67269 	76K
Susumu Hirasawa                              	3.85493 	17K
Nintendo Sound Team                          	3.93806 	9K
Buzzcocks                                    	3.81408 	24K
Animal Collective                            	3.55068 	214K
Belle and Sebastian                          	3.64867 	92K
Invisible                                    	3.93348 	9K
Jane Remover                                 	3.72396 	49K
Dave Brubeck                                 	3.8273  	21K
Patti Smith                                  	3.75885 	37K
Caroline Polachek                            	3.7281  	47K
Leonard Bernstein                            	3.89633 	12K
Janet Jackson                                	3.72514 	48K
Captain Beefheart                            	3.68831 	64K
Van der Graaf Generator                      	3.76432 	34K
Camel                                        	3.73137 	45K
Beastie Boys                                 	3.65610 	83K
Phoebe Bridgers                              	3.72683 	46K
Mahavishnu Orchestra                         	3.82420 	21K
Lift to Experience                           	3.92916 	9K
Slayer                                       	3.61625 	114K
King Geedorah                                	3.85759 	16K
Natural Snow Buildings                       	3.76072 	34K
Electric Wizard                              	3.72942 	44K
Staatsorchester Stuttgart                    	3.9483  	8K
